,pm25_pt_in
156,-1.728223354853016
316,-0.0985889243611721
60,1.181043126185355
140,-0.8150192700312987
350,1.4654659024121797
76,0.5087414861943569
318,-0.0985889243611721
352,1.4654659024121797
28,-0.6844192492933342
190,-0.3889254817562992
364,0.2778155930930957
62,0.5968436121488389
54,1.957512199404753
108,-0.8542999511344173
90,-0.7207008995803426
242,-1.3096265264936615
216,-0.08590996806244955
206,0.03604865425810756
254,-1.3361300607243836
112,0.03604865425810756
110,-0.8542999511344173
168,0.20441805778432048
402,-0.19003687107855685
126,0.10534088714427588
296,0.3873648536389208
78,1.60072136175541
56,1.957512199404753
384,0.2362467819846143
404,-0.2724697984752212
132,1.3430201483369262
212,-0.0985889243611721
18,0.10534088714427588
184,-0.23076014372440154
58,1.181043126185355
204,0.3384019786590634
238,-0.915028547848984
320,-1.3630797174847822
6,0.6477187630964215
86,1.4708487728605182
166,1.3082075369074453
290,-1.2077791300486382
304,-1.6611769692940692
182,-0.23076014372440154
8,0.6477187630964215
124,0.10534088714427588
120,0.4161120157398441
300,-1.6611769692940692
96,0.4161120157398441
40,1.3256938880911264
70,1.3023426352227314
100,-0.1113611321728934
114,0.03604865425810756
134,-0.915028547848984
194,1.6157313933375186
298,0.3873648536389208
280,0.308366385038459
72,-1.11197544380422
222,-0.048418525053385016
106,-0.19003687107855685
236,-1.628701505452436
306,-1.6611769692940692
370,-0.300849632068263
52,0.3284462277664384
398,1.4383212550838165
130,-1.11197544380422
312,1.0713933795171269
50,0.3284462277664384
274,-1.7628595050063174
288,-0.37392725415033773
94,0.024228973517135242
26,0.12784411810078725
74,-1.11197544380422
144,0.6054224587831242
118,0.4161120157398441
162,1.64049087016447
276,-1.5051181686798063
198,-1.6943404232573709
82,-0.31521763002525915
170,1.4492255420081923
0,-1.4183828790664563
10,0.07103670278787677
122,0.4161120157398441
336,-0.4347290366572341
218,1.1494546584984902
372,0.308366385038459
292,-1.2077791300486382
224,-0.048418525053385016
172,1.4492255420081923
12,0.07103670278787677
248,-1.3361300607243836
286,-0.37392725415033773
142,0.6054224587831242
226,-0.2866010463557133
360,-0.300849632068263
98,0.4161120157398441
176,0.20441805778432048
244,-1.3361300607243836
240,-0.915028547848984
282,-0.5800641082791119
234,-1.628701505452436
68,1.3023426352227314
44,0.3284462277664384
116,0.03604865425810756
152,-0.5800641082791119
80,1.60072136175541
22,0.9047060333020484
332,-0.4347290366572341
48,0.3284462277664384
308,-0.5139247560200151
2,-1.5051181686798063
388,1.181043126185355
294,1.0713933795171269
374,0.308366385038459
314,1.0713933795171269
310,-0.5139247560200151
354,1.181043126185355
4,-1.2835538165857818
104,-0.19003687107855685
150,-0.5800641082791119
146,0.9899207021808568
400,0.4350238264290638
382,0.03604865425810756
268,-1.2578974191457737
326,-1.3630797174847822
322,-1.3630797174847822
196,1.6157313933375186
32,-0.2724697984752212
148,0.9899207021808568
386,0.2362467819846143
164,1.64049087016447
